url,title,text,text_length
https://yessenovfoundation.org/en/sh-esenov/publikatsii-v-smi/,Publications in Mass Media — Shakhmardan Yessenov Foundation,"- Kazakh Literature – Scientific Continuity
- Wikipedia — Shakhmardan Yessenov
- Vox Populi – The man who defended Mangyshlak
- Shakhmardan Yessenov: Key life and creativity milestones
- Shakhmardan Yessenov – Epoch Man
- Batir – Shakhmardan
- Shakhmardan Yessenov – A Prominent Figure
- A Fighter for Progress – Shakhmardan Yessenov
- Bibliography of academician Shakhmardan Yessenov
- The nation’s pride
- Shakhmardan Yessenov: а Lifelong Expedition
- A Great Scientist of His Time или The Eminent Scientist of His Era
- A Gifted Science Organizer
- The 90th Anniversary of Shahmardan Yessenov’s Birth
- The Guiding Star of Shahmardan Yessenov",645
https://yessenovfoundation.org/en/category/novosti/istorii-uspeha/,Stories — Shakhmardan Yessenov Foundation,"Speciality: Computer Science. Winner of the Yessenov Data Lab Program.
Мамандығы: медицина. Yessenov Data Lab бағдарламасының жеңімпазы.
Speciality: Physics. Winner of the Yessenov Data Lab Program.
Speciality: Information Technology. Recipient of the Yessenov Scholarship.
Specialization: biological and related sciences. Recipient of the Yessenov Scholarship.
Specialization: Ecology and Conservation Biology. Internship: Austin Peay State University, the USA
Specialization: Microbiology. Internship: Institut Gustave Roussy.
Speciality: Medicine. Internship: Harvard Medical School.
Specialization: Business Analytics and Big Data. Winner of the Yessenov Data Lab Program.
Speciality: Mathematics. Winner of the Yessenov Launch Pad Program.
Specialization: Transport Logistics and Transportation Management. English Language Program participant.
Specialization: Astrophysics. Internship: University of Oxford.",913
https://yessenovfoundation.org/en/about-us/programs/knowledge/books/,Books — Shakhmardan Yessenov Foundation,"The program of publication of books and promotion of science aims to provide accessible and relevant literature about science, the world around us and our country for knowledge seekers. All our books published under the program can be found on our “Bookshelf“, a special project.
The Secrets of Usturt- The Secrets of UsturtA guidebook published on materials of the Margullan Seisembai's expedition.
Physics in Comics- Physics in ComicsThe first ever Kazakhstani scientific comic book is published.",498
https://yessenovfoundation.org/en/sh-esenov/multimedia/,Multimedia — Shakhmardan Yessenov Foundation,"Multimedia1920-19591960-19691970-1976Family. Childhood. Gymnasium. Student years.Colleagues and family.The Soviet Kazakhstan, newsreel (1966)The Soviet Kazakhstan, newsreel (1968)""Line of Fate"", a documentary about Shakhmardan Yessenov (in Russian, 2007)Shakhmardan Yessenov. A life-long expedition. Documentary (2018)",318
https://yessenovfoundation.org/en/about-us/programs/resources/yessenov-launch-pad/,Yessenov Launch Pad — Shakhmardan Yessenov Foundation,"The Yessenov Foundation program, launched in 2022, provides grants for additional training in the development of soft skills (e.g. negotiation, presentation) and/or hard skills (e.g. writing, analysis).
Yessenov Launch Pad 2025- Yessenov Launch Pad 202510 grants for additional education for young professionals",311
https://yessenovfoundation.org/en/about-us/mission-and-reports/,Mission and Reports — Shakhmardan Yessenov Foundation,"Galimzhan Yessenov founded the Academic Shakhmardan Yessenov Science and Education Foundation in 2013. The Foundation’s objective is to support students and young Kazakhstani scientists who specialize in the exact and natural sciences to continue main education, to improve their professionalism and competitiveness.
THE FOUNDATION’S MISSION: to develop Kazakhstan’s intellectual potential.
Reports
2025 Financial Report
Downloaded: 22, Size: 0
2024 Financial Report
Downloaded: 160, Size: 0
2023 Financial Report
Downloaded: 301, Size: 480.9 KB
2022 Financial Report
Downloaded: 383, Size: 34.5 KB
2021 Financial Report
Downloaded: 370, Size: 11.7 KB
2020 Financial Report
Downloaded: 594, Size: 158.2 KB
What's done: 2019
Downloaded: 689, Size: 7.2 MB
2019 Financial Report
Downloaded: 646, Size: 745.9 KB
2018 Financial Report
Downloaded: 849, Size: 12.9 KB
2017 Financial Report
Downloaded: 804, Size: 117.4 KB
2013-2016 Financial Reports
Downloaded: 433, Size: 27.2 KB",973
https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/,Yessenov Scholarship — Shakhmardan Yessenov Foundation,"The program is designed to promote the development of technical and natural science disciplines in Kazakhstan by providing financial support to the best undergraduate students and developing their competencies in demand by modern society. The program has been in existence since 2013. Having started as a scholarship program exclusively for students of Satbayev University, today the Yessenov Scholarship covers students of more than 30 higher educational institutions of the country.",484
https://yessenovfoundation.org/en/about-us/programs/science/research-internships/,Research Internships — Shakhmardan Yessenov Foundation,"Research Internships
One of the main requirements for admission to postgraduate and doctoral studies of leading universities in the world is experience in research laboratories. Because of the lack of opportunity to undertake the necessary internships, many Kazakh students do not receive this experience and are therefore deprived of the prospects for admission to the world’s top universities to continue their scientific studies. To address this lack of access and help talented students secure the experience they need, this program was first introduced in 2013.
Program of the scientific internships in the World laboratories – 2026- Program of the scientific internships in the World laboratories – 202610 grants for research internships in the world best laboratories",774
https://yessenovfoundation.org/en/about-us/programs/science/orleu/,"Orleu-2022, Yessenov Foundation — Shakhmardan Yessenov Foundation","The Shakhmardan Yessenov Foundation holds a competition for the provision of 10 grants for applicants from low-income families who have not received a state or any other grant to pay for higher education (at a bachelor’s level). The program was implemented from 2022 to 2024. At present, it is only available to the existing grant recipients of the program.
Orleu program - 2024- Orleu program - 202410 grants for higher education for applicants from low-income families",470
https://yessenovfoundation.org/en/about-us/programs/knowledge/books/scientific-conferences/,Scientific Conferences — Shakhmardan Yessenov Foundation,"Scientific Conferences
International Scientific and Practical Conference “Minerageny of Kazakhstan”. 2017
This year on September 21-22 there has been the International Scientific and Practical Conference “Minerageny of Kazakhstan” organized in Almaty in the conference hall of the K. I. Satbayev Institute of Geological Sciences, which was dedicated to the 90th anniversary of the birth of a prominent scientist and production organizer, a well-known statesman, educator of engineering workforce and academician Shakhmardan Yessenov.
The conference was held under the auspices of the Ministry of Investment and Development of the Republic of Kazakhstan, the Ministry of Energy of the Republic of Kazakhstan, the Ministry of Education and Science of the Republic of Kazakhstan, as well as the Committee of Geology and Mineral Resources of the Republic of Kazakhstan.
Organizers of the conference: Shakhmardan Yessenov Science and Education Foundation, Academy of Mineral Resources of the Republic of Kazakhstan, K. I. Satbayev Institute of Geological Sciences, Satbayev University.
“Science on Earthquakes and their Risks in Central Asia” Almaty, September 2016
General objectives:
- to address the modern understanding of the nature of earthquakes, the threats coming from them, the state of current work and applied techniques for studying active tectonics in Central Asia;
- to create a forum for discussing various strategies aimed at mitigating earthquake risks;
- to establish effective communications between science, the public and government institutions in order to develop and implement appropriate policies.
Specific objectives:
- to promote the development of the science on earthquakes by way of sharing research results and modern research techniques;
- to inspire and encourage earthquake researchers in Kazakhstan;
- to raise awareness among the public and officials responsible for public safety about realistic strategies to reduce earthquake risks.
Venue: K. I. Satbayev Institute of Geological Sciences (Kabanbay Batyr street on the corner of С. Valikhanov street, 69/94)
This conference is supported by the Shakhmardan Yessenov Science and Education Foundation having a long tradition of encouraging geological studies and related education in Kazakhstan. Among the co-hosts of the conference are the Institute of Seismology of the Republic of Kazakhstan, the National Research Technical University of the Republic of Kazakhstan and the project “Earthquakes Without Borders” * (Great Britain).
* The project “Earthquakes Without Borders” has been organized by scientists from British universities and other institutions and represents partnership between independent earthquake researchers and social scientists in countries that make up the large earthquake-prone belt from Italy to China. One of the objectives of the project is to increase the level of development of the science on earthquakes and mitigate risks related thereto by way of sharing knowledge, information, techniques and research data between partner countries ( http://ewf.nerc.ac.uk/).
- Read more: here",3095
https://yessenovfoundation.org/en/about-us/programs/resources/yessenov-data-lab/,Yessenov Data Lab — Shakhmardan Yessenov Foundation,"A summer school for current data analysts and those planning to work in this field. The program was initiated in 2018 and is an intensive course lasting several weeks (in recent years – online), designed to train young scientists and specialists from Kazakhstan in the fundamental skills of big data analysis for application in their future work.
Yessenov Data Lab 2026- Yessenov Data Lab 202620 grants for young scientists to the summer school for data analysis.",463
https://yessenovfoundation.org/en/about-us/programs/resources/internships-in-it-startups/,Internships in IT startups — Shakhmardan Yessenov Foundation,"Resources
The Implemented Fund Programs
Internships in IT startups 2019
5 grants for 6-month internship.
Internships in IT startups 2018
5 grants for internships in the IT-startups in the Silicon Valley.
Internships in IT startups 2017
5 grants are allocated to undertake a 6-month long internship at a startup in the Silicon Valley (USA). Winners must be professionals in IT field.
Internships in IT startups 2016
5 grants for internships in the IT-startups in the Silicon Valley.",481
https://yessenovfoundation.org/en/about-us/programs/science/graduate-studies/,Graduate studies — Shakhmardan Yessenov Foundation,"FYI. The program is currently not running. Educational training in master programs at leading universities will provide young talented scientists of Kazakhstan with the chance to expand their knowledge and use new technologies in research, gain from international exchange of experience in science, and build on their professional competences to a new level. By implementing this program the Foundation continues to invest into domestic scientists as a part of its activity.
Graduate Studies 2019- Graduate Studies 2019The program of sponsorship for study in a master's degree abroad",583
https://yessenovfoundation.org/en/about-us/programs/resources/almaty-marathon/,Almaty Marathon — Shakhmardan Yessenov Foundation,"The Shakhmardan Yessenov science and education foundation is the founder of the corporate “Courage to be the first” fund. One of the main events organized by the corporate fund is the annual Almaty Marathon.
For more details about the activities of the corporate “Courage to be the first” fund and the Almaty Marathon, please visit: www.almaty-marathon.kz/en",358
https://yessenovfoundation.org/en/category/novosti/novosti-fonda/,Newsfeed — Shakhmardan Yessenov Foundation,"YDL GRADUATES WON’T NEED TO JOB HUNT!
5.06.26
92 COMPETITORS ADVANCE
15.05.26
THE YESSENOV SCHOLARSHIP: 20 NEW WINNERS
10.04.26
DISCOVER YDL 2026
27.03.26
IESO 2026 NATIONAL SELECTION COMPLETED
4.03.26
YESSENOV FOUNDATION SPONSORS KAZAKHSTAN’S IESO TEAM
4.02.26
YESSENOV SCHOLARSHIP: APPLICATIONS OPEN ON FEB 2
15.01.26
INTRODUCING THE 2026 INTERNSHIP WINNERS
19.12.25
A FOUNDATION THAT OPENS DOORS
9.12.25
YLP 2025: MEET THE WINNERS
14.11.25
YLP 2025: THE COMPETITION KICKS OFF
20.10.25
A MONUMENT TO SHAKHMARDAN YESSENOV TO BE UNVEILED IN 2027
9.10.25
1
2
3
4
…
20
»",568
https://yessenovfoundation.org/en/about-us/programs/knowledge/chess/,Chess — Shakhmardan Yessenov Foundation,"Kazakhstan Chess Federation- Kazakhstan Chess FederationApart from science and knowledge, sport is another effective tool to develop one's intellectual potential. Chess is an excellent means to enhance analytical skills as well as logical and strategic thinking. The Shakhmardan Yessenov science and education foundation was the general sponsor of the Kazakhstan Chess Federation (KCF) July 2015 - January 2020.
Chess at School- Chess at SchoolThe Shakhmardan Yessenov Foundation implemented a project in 2017-2020, the purpose of which was to study the influence of the playing of chess on pupil performance and the introduction of chess into the comprehensive school curriculum.",680
https://yessenovfoundation.org/en/about-us/programs/knowledge/yessenov-lectures/find-your-way/,(Рус) Find Your Way - Shakhmardan Yessenov Foundation #Галимжан Есенов — Shakhmardan Yessenov Foundation,"Find Your Way #fywyessenov
The program was created to inform high school students about new opportunities for professional and personal growth that have emerged in Kazakhstan and around the world. It features a series of lectures led by experts and professionals in their respective fields, covering topics that are highly relevant to graduating students — choosing a career path and university, defining one’s life trajectory, writing a compelling motivation letter, self-presentation and interview skills, fact-checking and critical thinking, applying to various programs, maintaining a healthy lifestyle, and more. Since its launch in 2018, the program has reached over 1,000 participants, including students and their parents, offering them valuable insights and practical guidance for shaping their future.
- Победители Yessenov Foundation выступили перед школьниками 2024
- Find Your Way: в Алматы прошла конференция для школьников 2023
- Find Your Way в КБТУ: Как выбрать будущую профессию 2019
- Find Your Way в NARXOZ 20219
- Find Your Way в KIMEP: 200 старшеклассников 2019
- Find your way: Зачем и как изучать языки 2018
All speaker presentations are available on our channel: тут",1191
